# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
2899	126.000	-0.997	-0.843	0.000	-78.808	-5.452
2915	126.000	-0.577	-0.756	0.000	-78.808	3.178
2931	126.000	-0.966	-0.881	0.000	-78.808	-9.272
2947	126.000	-0.955	-0.799	0.000	-78.808	-1.059
2963	126.000	-1.018	-0.970	0.000	-78.808	-18.186
2979	126.000	-0.882	-0.985	0.000	-78.808	-19.739
2995	126.000	-0.954	-0.667	0.000	-78.808	12.156
3011	126.000	-0.991	-0.866	0.000	-78.808	-7.788
3027	126.000	-0.925	-0.538	0.000	-78.808	24.961
3043	126.000	-0.949	-0.598	0.000	-78.808	18.968
3059	126.000	-0.974	-0.689	0.000	-78.808	9.924
3075	126.000	-0.992	-0.800	0.000	-78.808	-1.201
3091	126.000	-0.974	-0.838	0.000	-78.808	-4.990
3107	126.000	-0.960	-0.882	0.000	-78.808	-9.349
3123	126.000	-0.562	-0.586	0.000	-78.808	20.253
3139	126.000	-1.027	-0.874	0.000	-78.808	-8.629
3155	126.000	-1.030	-0.983	0.000	-78.808	-19.515
3171	126.000	-1.081	-0.914	0.000	-78.808	-12.634
3187	126.000	-0.966	-0.833	0.000	-78.808	-4.533
3203	126.000	-1.011	-0.823	0.000	-78.808	-3.455
3219	126.000	-1.004	-0.919	0.000	-78.808	-13.062
3235	126.000	-1.010	-0.563	0.000	-78.808	22.485
3251	126.000	-1.018	-0.872	0.000	-78.808	-8.399
3267	126.000	-0.910	-0.583	0.000	-78.808	20.555
3283	126.000	-0.978	-0.583	0.000	-78.808	20.501
3299	126.000	-0.943	-0.805	0.000	-78.808	-1.680
3315	126.000	-0.966	-0.659	0.000	-78.808	12.930
3331	126.000	-0.986	-0.782	0.000	-78.808	0.573
3347	126.000	-0.959	-0.967	0.000	-78.808	-17.857
3363	126.000	-0.992	-0.915	0.000	-78.808	-12.701
3379	126.000	-0.895	-0.878	0.000	-78.808	-9.008
3395	126.000	-0.962	-0.633	0.000	-78.808	15.482
3411	126.000	-0.906	-0.570	0.000	-78.808	21.779
3427	126.000	-0.938	-0.762	0.000	-78.808	2.650
3443	126.000	-0.952	-0.756	0.000	-78.808	3.210
3459	126.000	-0.948	-0.698	0.000	-78.808	9.000
3475	126.000	-0.998	-0.824	0.000	-78.808	-3.603
3491	126.000	-0.955	-0.592	0.000	-78.808	19.601
3507	126.000	-0.976	-0.780	0.000	-78.808	0.851
3523	126.000	-1.010	-0.787	0.000	-78.808	0.094
3539	126.000	-0.948	-0.695	0.000	-78.808	9.321
3555	126.000	-0.949	-0.743	0.000	-78.808	4.528
3571	126.000	-1.010	-0.824	0.000	-78.808	-3.565
3587	126.000	-0.973	-0.572	0.000	-78.808	21.630
3603	126.000	-0.952	-0.798	0.000	-78.808	-0.975
3619	126.000	-1.015	-0.971	0.000	-78.808	-18.298
3635	126.000	-1.000	-0.904	0.000	-78.808	-11.594
3651	126.000	-1.025	-0.880	0.000	-78.808	-9.215
3667	126.000	-0.570	-0.836	0.000	-78.808	-4.827
3683	126.000	-0.935	-0.662	0.000	-78.808	12.603
3699	126.000	-0.957	-0.746	0.000	-78.808	4.181
3715	126.000	-0.976	-0.713	0.000	-78.808	7.460
3731	126.000	-0.992	-0.911	0.000	-78.808	-12.256
3747	126.000	-0.972	-0.807	0.000	-78.808	-1.931
3763	126.000	-0.985	-0.685	0.000	-78.808	10.351
3779	126.000	-0.968	-0.644	0.000	-78.808	14.365
3795	126.000	-1.047	-0.720	0.000	-78.808	6.774
3811	126.000	-0.921	-0.586	0.000	-78.808	20.165
3827	126.000	-0.987	-1.014	0.000	-78.808	-22.588
3843	126.000	-0.995	-0.920	0.000	-78.808	-13.200
3859	126.000	-0.974	-0.828	0.000	-78.808	-3.987
3875	126.000	-0.987	-0.546	0.000	-78.808	24.173
3891	126.000	-0.993	-0.778	0.000	-78.808	1.045
3907	126.000	-1.030	-0.818	0.000	-78.808	-3.001
3923	126.000	-0.960	-0.881	0.000	-78.808	-9.342
3939	126.000	-1.016	-1.000	0.000	-78.808	-21.191
3955	126.000	-0.962	-0.657	0.000	-78.808	13.128
3971	126.000	-0.998	-0.577	0.000	-78.808	21.077
3987	126.000	-0.969	-0.763	0.000	-78.808	2.545
4003	126.000	-0.997	-0.740	0.000	-78.808	4.850
4019	126.000	-1.059	-0.981	0.000	-78.808	-19.328
4035	126.000	-0.931	-0.571	0.000	-78.808	21.744
4051	126.000	-0.958	-0.700	0.000	-78.808	8.856
4067	126.000	-0.955	-0.667	0.000	-78.808	12.074
4083	126.000	-1.019	-0.604	0.000	-78.808	18.424
4099	126.000	-0.953	-0.581	0.000	-78.808	20.721
4115	126.000	-0.962	-0.715	0.000	-78.808	7.259
4131	126.000	-0.966	-1.019	0.000	-78.808	-23.070
4147	126.000	-1.008	-0.687	0.000	-78.808	10.103
4163	126.000	-1.048	-0.585	0.000	-78.808	20.301
4179	126.000	-1.003	-0.954	0.000	-78.808	-16.591
4195	126.000	-0.996	-0.757	0.000	-78.808	3.115
4211	126.000	-0.961	-0.878	0.000	-78.808	-8.945
4227	126.000	-0.969	-0.886	0.000	-78.808	-9.778
4243	126.000	-0.971	-0.789	0.000	-78.808	-0.113
4259	126.000	-1.028	-0.739	0.000	-78.808	4.918
4275	126.000	-0.973	-0.639	0.000	-78.808	14.906
4291	126.000	-0.948	-0.849	0.000	-78.808	-6.142
4307	126.000	-0.959	-0.592	0.000	-78.808	19.620
4323	126.000	-0.972	-1.014	0.000	-78.808	-22.632
4339	126.000	-0.981	-0.849	0.000	-78.808	-6.083
4355	126.000	-1.002	-0.934	0.000	-78.808	-14.588
4371	126.000	-0.989	-0.731	0.000	-78.808	5.679
4387	126.000	-0.958	-0.965	0.000	-78.808	-17.670
4403	126.000	-1.029	-0.870	0.000	-78.808	-8.202
4419	126.000	-0.953	-0.834	0.000	-78.808	-4.615
4435	126.000	-0.974	-0.926	0.000	-78.808	-13.803
4451	126.000	-0.633	-0.681	0.000	-78.808	10.742
4467	126.000	-0.967	-0.627	0.000	-78.808	16.153
4483	126.000	-0.988	-0.964	0.000	-78.808	-17.599
4499	126.000	-0.502	4.330	1.000	-78.808	11.801
4515	126.000	-1.003	-0.821	0.000	-78.808	-3.272
4531	126.000	-0.948	-0.869	0.000	-78.808	-8.112
4547	126.000	-0.962	-0.727	0.000	-78.808	6.127
4563	126.000	-0.984	-0.807	0.000	-78.808	-1.874
4579	126.000	-1.060	-1.000	0.000	-78.808	-21.226
4595	126.000	-0.984	-0.780	0.000	-78.808	0.811
4611	126.000	-0.922	-0.798	0.000	-78.808	-0.984
4627	126.000	-0.950	-0.551	0.000	-78.808	23.711
4643	126.000	-0.957	-0.564	0.000	-78.808	22.369
4659	126.000	-0.972	-0.637	0.000	-78.808	15.088
4675	126.000	-0.983	-0.840	0.000	-78.808	-5.217
4691	126.000	-1.017	-0.978	0.000	-78.808	-18.993
4707	126.000	-0.994	-1.022	0.000	-78.808	-23.399
4723	126.000	-0.986	-0.808	0.000	-78.808	-2.002
4739	126.000	-0.992	-0.771	0.000	-78.808	1.753
4755	126.000	-1.033	-1.014	0.000	-78.808	-22.544
4771	126.000	-0.989	-0.775	0.000	-78.808	1.279
4787	126.000	-0.804	-0.857	0.000	-78.808	-6.852
4803	126.000	-0.617	-0.780	0.000	-78.808	0.771
4819	126.000	-0.983	-1.034	0.000	-78.808	-24.568
4835	126.000	-0.938	-0.943	0.000	-78.808	-15.511
4851	126.000	-0.719	-0.655	0.000	-78.808	13.326
